


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        4.2.1     Platform:  V1.1.5 (b18)     Uptime:    0.000 s
Compiled:   Apr 12 2026 19:43:23     Directory:                        


Data Start;
Pos; -43.69,57.19,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.11,272.03
Pos; -43.69,57.19,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.07,272.03
Pos; -43.69,57.19,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.19,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.11,272.04
Pos; -43.69,57.15,272.07
Pos; -43.70,57.11,272.08
Pos; -43.70,57.15,272.16
Pos; -43.71,57.11,272.39
Pos; -43.77,57.15,272.80
Pos; -43.84,57.08,273.52
Pos; -43.95,57.16,274.36
Pos; -44.07,57.13,275.24
Pos; -44.30,57.10,276.05
Pos; -44.51,57.19,276.77
Pos; -44.90,57.20,277.19
Pos; -45.22,57.28,277.24
Pos; -45.76,57.36,277.31
Pos; -46.17,57.40,277.32
Pos; -46.90,57.59,277.14
Pos; -47.45,57.66,276.53
Pos; -48.31,57.88,275.66
Pos; -48.91,57.98,274.25
Pos; -49.81,58.21,272.62
Pos; -50.41,58.65,271.02
Pos; -51.27,58.86,269.55
Pos; -51.83,58.99,268.31
Pos; -52.65,59.05,267.45
Pos; -53.20,59.01,267.31
Pos; -53.96,58.96,268.20
Pos; -54.45,58.90,269.90
Pos; -55.17,58.73,271.85
Pos; -55.62,58.61,273.35
Pos; -56.37,58.57,273.98
Pos; -56.87,58.61,274.00
Pos; -57.70,58.65,273.55
Pos; -58.24,58.84,272.74
Pos; -59.01,58.88,271.88
Pos; -59.43,59.01,271.06
Pos; -59.92,59.05,270.40
Pos; -60.14,59.17,270.15
Pos; -60.39,59.21,270.19
Pos; -60.49,59.21,270.25
Pos; -60.54,59.21,270.24
Pos; -60.54,59.17,270.24
Pos; -60.51,59.21,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.17,270.25
